case_id,Case Status,Unnamed: 2,Product Phase,Concept Year_year,Concept Year_year_raw,Concept Year_year_qualifier,Prototype Year_year,Prototype Year_year_raw,Prototype Year_year_qualifier,Commercial Year_year,Commercial Year_year_raw,Commercial Year_year_qualifier,Patent mentions biomim*?,Academia or Industry,Company or Institution Name,Innovator?,Product Name,Product Description,Aerospace or Transport?,Mimic,Mimic Description,Sustainability?,Kingdom,Group,Phylum,Mimic System,Mimic Subsystem,Mimic Suprasystem,BioM Intensity,Bioutilization?,Species Utilized,Is this product Biomimetic?,Is this an Ecosystem Service,Process Type,Source(s),"Do the official or commercial product descriptions or journal article by developer mention inspir*, Biom*, Bioni*, or mimi*?",Third Party,Product Biomimetic Description Word,Word Category,Country,Continent,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,display_name,biom_type_function,biom_type_form,biom_type_process,biom_type_interaction,biom_type_na,country_iso3,country_name_canonical
11,"Complete, with interview",,"Discontinued, was Commercially Available",2007.0,2007,,,  ,,2013.0,Pilot scale production by end of 2013,,True,,Aquaporin,True,Aquaporin Inside™ Technology (AIT),Aquaporin membrane technology used to filter and  purify water.,False,Aquaporins,Water filtration membranes that use aquaporins.,True,,,,Organelle,Molecule,Cell,,True,Aquaporins,False,True,Biology to Design,www.aquaporin.dk/,True,,Biomimetic,Biomimet*,Denmark,Europe,,,,,,,Aquaporin Inside™ Technology (AIT),False,False,False,False,True,DNK,Denmark
12,"Complete, no interview",,In Development,,,,,,,,,,,,"University of Southern Mississippi, School of Polymers and High Performance Materials",,,"Artificial cilia copolymer film that has thermal, chemical and electromagnetic sensing abilities.",False,Cilia,"Artificial cilia involved in particle movement, sensing, and motility.",False,,,,Organelle,Molecule,Cell,0.0,False,,True,False,Biology to Design,"www.usm.edu/urbanrg/research.html
www.usm.edu/polymer/faculty/marek-w-urban
www.nsf.gov/news/news_summ.jsp?cntn_id=117670&org=NSF&from=news
Liu, F., Ramachandran, D. & Urban, M.W., 2010. Colloidal Films That Mimic Cilia. Advanced Functional Materials, 20(18), pp.3163–3167.",True,,Mimic,Mimi*,USA,North America,,,,,,,,True,False,False,False,False,USA,United States
13,"Complete, no interview",,In Development,,,,,,,,,,,,"Jiao Tong University, State Key Laboratory of Metal Matrix Composites",,,Artificial inorganic leaf for hydrogen fuel and solar energy production.,False,Green leaves,"Mimicking the nanostructure of green leaves, specifically Cinnamomum comphora, in order to copy the process of photosynthesis.",True,Plantae,Plants,Anthophyta,Cell,Organelle,Tissue,2.0,True,Anemone vitifolia,True,True,,"www.en.sjtu.edu.cn/research/centers-labs/state-key-laboratory-of-metal-matrix-composites
Zhou, H. et al., 2010. Artificial inorganic leafs for efficient photochemical hydrogen production inspired by natural photosynthesis. Advanced Materials, 22(9), pp.951–956.
Zhou, H. et al., 2009. Biomimetic photocatalyst system derived from the natural prototype in leaves for efficient visible-light-driven catalysis. J. Mater. Chem., 19(18), pp.2695–2703.

",True,,Biomimetic,Biomimet*,China,Asia,,,,,,,,False,True,True,False,False,CHN,China
14,"Complete, no interview",,In Development,,,,,,,,,,True,,Nanotope,,,Artificially directed biomineralization of bone nanostructure.,False,Bone formation,Biomolecules called peptide amphiphiles mimic the way natural collagen scaffold helps to guide bone formation.,False,Animalia,Chordates,Chordata,Tissue,Cell,Organism,1.0,False,,True,False,Design to Biology,"http://invo.northwestern.edu/start-ups/nanotope
http://www.matsci.northwestern.edu/people/faculty/profiles/samuel-i-stupp.html
http://stupp.northwestern.edu/research/index.html
www.nanotope.com/ - compay website does not work
Palmer, L.C. et al., 2008. Biomimetic systems for hydroxyapatite mineralization inspired by bone and enamel. Chemical reviews, 108(11), p.4754.",True,,Biomimetic,Biomimet*,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
15,"Complete, no interview",,In Development,,,,,,,,,,,,"University of Toronto, Department of Chemistry",,,Autocatalytic polymerization.,False,,"Product is very generally based on self-assembly in nature, not on any one thing in particular.",False,,,,Cell,,,0.0,False,,True,True,,"www.chem.utoronto.ca/ppl/faculty_profile.php?id=52
www.asknature.org/product/67f61c6b14229aca66fcb9d7ed0fb48f",False,,,,Canada,North America,,,,,,,,True,False,False,False,False,CAN,Canada
16,"Complete, no interview",,Concept,,,,,,,,,,,,BIAS Project,,Biologically Inspired Acoustic Systems (BIAS),Technology to harness acoustic capabilities of biological systems and apply them to disciplines associated with imaging or detecting the physical properties of objects or materials.,False,Bat echolocation,"Bats' ability to resolve acoustic pulses, identify objects and characterize materials by emitting multiple harmonic FM sounds and monitor the difference in echo between them. ",False,Animalia,Chordates,Chordata,Organ System,Organ,Organism,1.0,False,,True,False,Biology to Design,www.biasweb.co.uk,True,,Bio-inspired,Inspir*,UK,Europe,,,,,,,Biologically Inspired Acoustic Systems (BIAS),False,False,True,False,False,GBR,United Kingdom
17,"Complete, no interview",,Commercially Available,,,,,,,,,,False,,Baleen Filters,,Baleen Filters,"Non-pressurized, self-cleaning water filtration.",False,Baleen whales (Mysticeti) technique for cleaning baleen,Mimics counter flow cleaning technique of whales to clean baleen.,False,Animalia,Chordates,Chordata,Organ System,Organ,Organism,1.0,False,,True,True,Biology to Design,www.baleenfilters.com/product.asp,False,,,,Australia,Oceania,,,,,,,Baleen Filters,False,False,True,False,False,AUS,Australia
18,"Complete, with interview",,In Development,2005.0,2005,,,,,,,,False,,BioPower Systems,True,bioBASE™,Mooring for wave energy devices.,True,"Sea plants (i.e. Giant kelp, Macrocystis pyrifera) holdfast","Mimics the seabed holdfast mechanism used by large sea plants, such as the giant kelp, to distribute sea forces. ",True,Protista,Other,Heterokontophyta,Organ,Tissue,Organ System,0.0,False,,True,False,Biology to Design,"Not on company website yet as still in concept phase. 
Information gathered through patent and interview.",False,,,,Australia,Oceania,,,,,,,bioBASE™,True,False,False,False,False,AUS,Australia
19,"Complete, no interview",,In Development,,,,,,,,,,False,,Otsuka Chemical Company Ltd,,,Biofilm suppression compounds.,False,Plants and other organisms,Using quorum-sensing inhibitors (QSIs) from plants and other organisms to break up biofilm colonies which allow antibiotics to increase in efficacy in treating bacteria.,True,Plantae,Plants,,,,,,True,Quorum-sensing Inhibitors from many organisms including plants (such as cinnamon Cinnamomum),False,True,,"www.otsukac.co.jp/en/products/
www.asknature.org/product/9299e167dd1474fdc2da736a94c6f86a",False,,,,Japan,Asia,,,,,,,,False,False,False,False,True,JPN,Japan
20,"Complete, with interview",,Commercially Available,2000.0,2000,,2000.0,2000,,2005.0,2005,,True,,Floating Island International,True,BioHaven® Floating Islands,Floating islands that filter sediments and nutrients out of surface water.,False,Wetland filtration,"Concentrates wetland plants and microbes on a fibrous matrix for water filtration, mimicking natural wetland filtration.",True,,,,Community,Population,Ecosystem,0.0,True,Native plants and microbes,True,True,Biology to Design,"www.floatingislandinternational.com/products/biohaven-technology/
 www.missoulanews.bigskypress.com/gyrobase/back-to-nature/Content?oid=1491753&showFullText=true",True,,Biomimic,Biomimic*,USA,North America,,,,,,,BioHaven® Floating Islands,True,False,False,False,False,USA,United States
21,"Complete, no interview",,In Development,,,,,,,,,,,,"University of Kiel, Max Planck Institute for Metals Research, Evolutionary Biomaterials Group",,,Adhesive tape.,False,Insect appendages,"Mimics the hairy, adhesiveness of insect appendages.",False,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,Biology to Design,"www.mf.mpg.de/en/abteilungen/arzt/bio/adhesive.html
http://www.gizmag.com/bioinspired-adhesive-tape-kiel/20406/
http://www.uni-kiel.de/zoologie/gorb/adhesive.html",True,,Biomimetic,Biomimet*,Germany,Europe,,,,,,,,False,True,False,False,False,DEU,Germany
22,"Complete, with interview",,In Development,2004.0,2004,,2009.0,2009,,,,,,,"University of Utah, College of Engineering",True,,Medical adhesive.,False,Sandcastle worm (Phragmatopoma californica) glue,Glue that mimics the proteins of a bioglue.,False,Animalia,Invertebrates,Annelida,Molecule,,Organelle,1.0,False,,True,False,Biology to Design,http://www.bioen.utah.edu/faculty/RJS/LabSite12/,True,,Biomimetic,Biomimet*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
23,"Complete, no interview",,Commercially Available,,,,,,,2011.0,2011,,False,,Biolytix Ltd,,Biolytix BioPod,Waste treatment system that converts sewage and wastewater to high quality irrigation water.,False,Forest decomposition,Mimics how forest litter decomposes organic matter.,True,,,,Community,Population,Ecosystem,0.0,True,"Worms, beetles and other organisms",True,True,,www.biolytix.com/how-it-works/,False,,,,New Zealand,Oceania,,,,,,,Biolytix BioPod,True,False,False,False,False,NZL,New Zealand
24,"Complete, with interview",,Commercially Available,2003.0,2003,,2004.0,2004,,2006.0,2006,,False,,Biomatrica® Inc,True,SampleMatrix®,Stabilizes and protects biological materials at room temperature.,False,"Brine shrimp (Artemia)
Resurrection ferm (spikemoss family, Selaginellaceae)
Tardigrades","Mimics the ability of organisms, such as the brine shrimp,  to remain in a dried state for prolonged periods of time without causing any damage.",False,Animalia,Invertebrates,Arthropoda,Organism,Organ System,Population,0.0,False,,True,False,Biology to Design,www.biomatrica.com/technology_samplematrix.php,False,,,,USA,North America,,,,,,,SampleMatrix®,True,False,False,False,False,USA,United States
25,"Complete, no interview",,Commercially Available,,,,,,,2018.0,2018,,False,,Veryan Medical,,BioMimics 3D™ Stent,Stent with helical shape transposed onto a traditional straight stent.,False,Human vascular system,Mimics the natural shape and geometry of the human vascular system that contributes to efficient and increased blood flow through arteries.,False,Animalia,Chordates,Chordata,Organ System,Organ,Organism,1.0,False,,True,False,,www.veryanmed.com/node/11,True,,Biomimic,Biomimic*,UK,Europe,,,,,,,BioMimics 3D™ Stent,False,True,False,False,False,GBR,United Kingdom
26,"Complete, no interview",,In Development,,,,,,,,,,,,Festo,True,Bionic Handling Assistant,"Robotic arm with the same range of motion as an elephant trunk, as well as the ability to pick up objects.",False,Elephant trunk,"Mimics how the elephant trunk is strong and able to pick up objects, yet doesn't contain bones? - the robotic arm does not contain steel and is produced using 3D laser sintering.",False,Animalia,Chordates,Chordata,Organ System,Organ,Organism,0.0,False,,True,False,Biology to Design,"www.festo.com/cms/en_corp/9655.htm
Media Brochure in Dropbox",True,,Bionic,Bioni*,Germany,Europe,,,,,,,Bionic Handling Assistant,True,False,False,False,False,DEU,Germany
27,"Complete, no interview",,Commercially Available,,,,,,,,,,True,,Lawrence Berkeley National Laboratory,True,,"Biosensor mimics cell receptors and undergoes a colour change when the membrane is disrupted.  Can be used as a test for influenza, E. coli, cholera toxin, biocatalyts and antibody presence.",False,Cellular binding sites,Mimics cellular binding sites (receptors). Membrane will become disrupted and change colour when test substance (or toxin) binds to the receptors.  ,False,,,,Molecule,,Organelle,1.0,False,,True,False,,"www.lbl.gov/Tech-Transfer/techs/lbnl0965.html
Song, J. et al., 2002. “Smart” Materials for Biosensing Devices: Cell-Mimicking Supramolecular Assemblies and Colorimetric Detection of Pathogenic Agents. Biomedical Microdevices, 4(3), pp.213–221.",True,,Mimic,Mimi*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
28,"Complete, no interview",,In Development,,,,,,,,,,,,"University of California, Santa Barbara, Plaxo Group",True,,Biosensors for medical diagnostics that can detect precise concentrations of test substances.,False,Multiple receptors on organisms,"Mimics the fact that organisms monitor their environments with multiple receptors, each displaying a different affinity for their common target. Mimicking the use of multiple receptors at once. ",False,,,,Organism,Organ System,Population,1.0,False,,True,False,,"www.web.chem.ucsb.edu/~plaxcogroup/
Vallée-Bélisle, A. & Plaxco, K.W., 2010. Structure-switching biosensors: inspired by Nature. Current opinion in structural biology, 20(4), pp.518–526.
www.eurekalert.org/pub_releases/2012-02/uoc--cmn021412.php",True,,Inspired,Inspir*,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
29,"Complete, no interview",,In Development,,,,,,,,,,,,Brown University,,,"Robotic bat wing made with plastic bones and 3D printer skin, possibilites for small aircrafts.",True,Dog-faced fruit bat (Cynopterus) wing,"Mimics the wing shape and motion of bats, specifically the dog-faced fruit bat (Cynopterus brachyotis).",False,Animalia,Chordates,Chordata,Organ,Tissue,,2.0,False,,True,False,,"www.treehugger.com/biomimicry/3d-printed-robotic-bat-wing-holds-new-possibilities-small-aircrafts.html
http://news.brown.edu/pressreleases/2013/02/robobat
Bahlman, J.W., Swartz, S.M. & Breuer, K.S., 2013. Design and characterization of a multi-articulated robotic bat wing. Bioinspiration & Biomimetics, 8(1), p.016009.",True,,Mimic,Mimi*,USA,North America,,,,,,,,False,True,True,False,False,USA,United States
30,"Complete, with interview",,In Development,2005.0,2005,,2013.0,2013,,,,,False,,BioPower Systems,True,bioSTREAM™,Power production from tidal currents.,False,"Thunniform swimming fish (tuna, sharks, and mackerel)","Products mimics shape of fish tail and the frequency of movement,  to harness energy from tidal currents.",True,Animalia,Chordates,Chordata,Organism,Organ System,Population,2.0,False,,True,False,Biology to Design,http://www.biopowersystems.com/biostream.html,True,,Biomimicry,Biomimic*,Australia,Oceania,,,,,,,bioSTREAM™,False,True,True,False,False,AUS,Australia
31,"Complete, no interview",,In Development,,,,,,,,,,False,,The Procter and Gamble Company,,,Biosynthesis of silicone polymers.,False,Sea sponge spiculae,"Mimics natural synthesis of cyclic siloxanes, such as in the spicula of sea sponges (Tethya aurantia).",False,Animalia,Invertebrates,Porifera,Cell,Organelle,Tissue,1.0,False,,True,False,,"www.asknature.org/product/7cc477e266cb43f9d758ba9437c57b3a
www.pg.com/en_US/index.shtml",False,,,,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
32,"Complete, no interview",,Commercially Available,,,,,,,,,,True,,"National Institute of Health, National Institute of Dental and Craniofacial Research",True,,Bone regrowth implants.,False,Natural bone,Product is a bone substitute that mimics the composite structure of real bone (fibres embedded in a matrix with pores that are filled with liquids).,False,Animalia,Chordates,Chordata,Organ,Organ System,Tissue,1.0,False,,True,False,,"Chang, M.C., Ko, C.-C. & Douglas, W.H., 2003. Preparation of hydroxyapatite-gelatin nanocomposite. Biomaterials, 24(17), pp.2853–2862.

",True,,Biomimetic,Biomimet*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
33,"Complete, no interview",,In Development,,,,,,,,,,False,,Instituto Politecnico de Leiria/Polytechnic Institute of Leiria,True,Bubble net,Bubble net fish catching system.,False,Humpback whale fishing behaviour (Megaptera novaeangliae),Reproducing the feeding  strategy of humpback whales using walls of bubbles to corral fish.,True,Animalia,Chordates,Chordata,Organism,Organ System,Population,1.0,False,,True,False,,www.bubblenet.wix.com/promar#!__bubble-net---promar---english/project,False,,,,Portugal,Europe,,,,,,,Bubble net,False,False,True,False,False,PRT,Portugal
34,"Complete, no interview",,In Development,,,,,,,,,,,,"University of Cambridge, NanoPhotonics Centre",,,Butterfly wing scale photonics that have the potential for being used in security printing.,False,Swallowtail butterfly (Papilio blumei) colouration,Intense colour created by the nanoscale pattern on swallowtail butterfly wings. ,False,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,,"www.cam.ac.uk/research/news/how-butterflies%E2%80%99-wings-could-cut-bank-fraud
Kolle, M. et al., 2010. Mimicking the colourful wing scale structure of the Papilio blumei butterfly. Nature Nanotechnology, 5(7), pp.511–515.

",True,,Mimicking,Mimi*,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
35,"Complete, no interview",,In Development,,,,2012.0,2012,,,,,,,"Shanghai Jiaotong University, Research Institute of Composite Materials",,,Butterfly-inspired solar surface.,False,Green birdwing butterfly (Ornithoptera priamus),Mimicking the black portions of butterfly wing that absorb energy and are resisteant to corrosion.,False,Animalia,Invertebrates,Arthropoda,Tissue,Cell,Organ,1.0,False,,True,False,Biology to Design,"www.rsc.org/chemistryworld/News/2011/October/20101102.asp
www.nytimes.com/2012/04/03/science/solar-energy-inspiration-from-butterflies.html?_r=0
www.nanopatentsandinnovations.blogspot.ca/2012/03/butterfly-wings-art-of-blackness-could.html
Zhang, W. et al., 2009. Novel Photoanode Structure Templated from Butterfly Wing Scales. Chemistry of Materials, 21(1), pp.33–40.
Zhao, Q. et al., 2011. Super black and ultrathin amorphous carbon film inspired by anti-reflection architecture in butterfly wing. Carbon, 49(3), pp.877–883.",True,,"Biomimetic
",Biomimet*,China,Asia,,,,,,,,False,True,False,False,False,CHN,China
36,"Complete, no interview",,"Discontinued, was Commercially Available",,,,,,,2005.0,2005,,False,,AstraZeneca (acquired from Amylin Pharmaceuticals 2013),True,Byetta® Exenatide Injection,Synthetic hormone injection to improve blood sugar control in adults with type 2 diabetes.,False,Gila monster (Heloderma suspectum) salivary hormone,Synthetic copies of the hormone (exendin-4) from the saliva of the Gila monster  to be used as a blood sugar regulator for diabetics.,False,Animalia,Chordates,Chordata,Molecule,,Organelle,,True,Gila Monster,False,False,Design to Biology,"www.byetta.com/
Furman, B.L., 2012. The development of Byetta (exenatide) from the venom of the Gila monster as an anti-diabetic agent. Toxicon: official journal of the International Society on Toxinology, 59(4), pp.464–471.",True,,Mimic,Mimi*,USA,North America,,,,,,,Byetta® Exenatide Injection,False,False,False,False,True,USA,United States
37,"Complete, no interview",,Commercially Available,,,,,,,,,,True,,Fortera (formerly Calera),,Supplementary Cementitious Material,Mineralization via Aqueous Precipitation (MAP) cement-making process.,False,Oceanic chemical processes,"Ocean chemistry involves the gradual absoprtion and mineralization of carbon, which this product mimics.",False,,,,Ecosystem,Community,Biosphere,,False,,False,False,,www.calera.com/index.php/technology/technology_vision/,True,,Mimic,Mimi*,USA,North America,,,,,,,Supplementary Cementitious Material,False,False,False,False,True,USA,United States
38,"Complete, no interview",,Commercially Available,,,,,,,,,,,,"Karlsruhe Research Centre, Institute for Materials Research, Department of Biomechanics",,CAO and SKO design software (what do these stand for?),"Engineering design software used to design products that are strong yet lightweight, such as car parts.",True,Bones and trees,"Software mimics bones' and trees' ability to optimize weight and performance of fiber-composite materials, such as car parts. On website it states ""computer simulation of biological growth"" not sure if this is referring to this program.",True,,,,Cell,Tissue,,0.0,False,,True,False,,http://www.mattheck.de/english/english2.htm,False,,,,Germany,Europe,,,,,,,CAO and SKO design software (what do these stand for?),True,False,False,False,False,DEU,Germany
39,"Complete, with interview",,Concept,2008.0,2008,,,,,,,,,,,True,,Capillary faucets.,False,Coconut and capillary tubes in roots of trees,"Initally inspired by how water gets into a coconut (however, had to reverse this process for his product) as well as how water travels up a tree through the roots.",False,Plantae,Plants,Anthophyta,Tissue,Cell,Organ,1.0,False,,True,False,Design to Biology,http://keihatsu.blogspot.ca/2009/12/free-energy-machine.html,False,,,,USA,North America,,,,,,,,False,False,True,False,False,USA,United States
40,"Complete, no interview",,In Development,,,,,,,,,,,,Intelligent Polymer Research Institute,True,,Carbon Nanotube Artificial Muscle.,False,Muscles,"Muscles' capability of rotating when contracting (like elephant trunks, octopus legs).",False,Animalia,,,Organ,Tissue,Organ System,1.0,False,,True,False,,"http://www.electromaterials.edu.au/events/UOW135102.html
Lima, M.D. et al., 2012. Electrically, Chemically, and Photonically Powered Torsional and Tensile Actuation of Hybrid Carbon Nanotube Yarn Muscles. Science, 338(6109), pp.928–932.

",False,,,,USA,North America,,,,,,,,False,True,False,False,False,USA,United States
41,"Complete, no interview",,Commercially Available,,,,,,,,,,False,,TecEco Pty Ltd,True,Eco-Cement,Cement that produces magnesium carbonate (adds strength and rigidity) when exposed to water.,False,"Various organisms (plants and algae, Plantae)",Inspiration was from various organisms' (such as plants and algae) ability to absorb CO2 and use it to synthesize structural materials.,False,,,,Organ System,Organ,Organism,1.0,False,,True,False,,www.tececo.com/products.eco-cement.php,True,,Mimicking,Mimi*,Australia,Oceania,,,,,,,Eco-Cement,False,False,True,False,False,AUS,Australia
